List, Tree
0.000437569, 0.0034981
0.000401029, 0.00381445
0.000429115, 0.0038482
0.000417447, 0.0035461
0.000424224, 0.0035992
0.000409203, 0.00341971
0.000391876, 0.00353751
0.000468309, 0.00351766
0.000414094, 0.00369554
0.000505268, 0.00362645
0.000409832, 0.00346065
0.000464746, 0.00352262
0.000450215, 0.00356503
0.000464955, 0.00368765
0.000418984, 0.00348504
0.000422617, 0.0036421
0.000406827, 0.00357957
0.000460205, 0.00369505
0.000404522, 0.00350879
0.000413674, 0.00358893
0.000397885, 0.00355036
0.0004681, 0.00346492
0.00048906, 0.00357328
0.000427368, 0.00342942
0.000414234, 0.00361094
0.000464816, 0.00341259
0.000432678, 0.00387028
0.000473759, 0.00363867
0.000393204, 0.00378658
0.000484797, 0.00394713
0.000410041, 0.00410999
0.000542577, 0.0037696
0.00041039, 0.00383451
0.000438197, 0.00349007
0.000425761, 0.00365139
0.000397396, 0.00362693
0.000397815, 0.00391869
0.000436381, 0.00365132
0.000453079, 0.00360968
0.000478859, 0.00381662
0.000410391, 0.00375891
0.000429255, 0.00365397
0.000431839, 0.00369198
0.00044211, 0.00369247
0.000438966, 0.00391359
0.000435542, 0.00379838
0.000445044, 0.00362742
0.000436311, 0.00364405
0.000453079, 0.00367926
0.000447908, 0.00381089
0.000398514, 0.00357908
0.000406967, 0.003691
0.00039523, 0.00398919
0.000496115, 0.00370253
0.00040026, 0.00384561
0.000401797, 0.00377519
0.000458249, 0.00382975
0.000481444, 0.00372642
0.000442389, 0.00369785
0.000430232, 0.00377764
0.000464886, 0.00400763
0.000408434, 0.00381711
0.000476344, 0.00391765
0.000492483, 0.00373865
0.000416678, 0.00381557
0.000498841, 0.00376722
0.000476623, 0.00364873
0.000442599, 0.0035855
0.000518752, 0.00372628
0.000589246, 0.00423749
0.000562628, 0.00430065
0.000541389, 0.0035338
0.000401728, 0.00383527
0.000585684, 0.00418209
0.000526437, 0.00419208
0.000580583, 0.00353199
0.000396907, 0.00385253
0.000558576, 0.00420109
0.000559274, 0.0041751
0.000513792, 0.00382668
0.000398723, 0.00385337
0.000570244, 0.00423029
0.00054097, 0.00419732
0.00044204, 0.00354016
0.000479138, 0.00373683
0.000585684, 0.00421583
0.000547047, 0.00408071
0.000544742, 0.00354631
0.000404802, 0.00358795
0.000479837, 0.00375025
0.000489759, 0.00352458
0.00047802, 0.00353073
0.000461532, 0.00355763
0.000434914, 0.00365907
0.000451402, 0.00382375
0.000494159, 0.00375982
0.000449865, 0.00355539
0.00042667, 0.00362463
0.000435822, 0.00385595
0.000419194, 0.00361471
