Bubble Sort, Optimized Bubble Sort, Selection Sort, Optimized Selection Sort, Insertion Sort, Radix Sort
0.250623, 0.173205, 0.0584392, 0.0578678, 0.0902739, 1.15384
0.251481, 0.174528, 0.0979389, 0.0578905, 0.0905292, 1.15406
0.249708, 0.172777, 0.058223, 0.0576741, 0.0905069, 1.14386
0.270621, 0.182519, 0.0581206, 0.0576668, 0.110985, 1.15378
0.258212, 0.182422, 0.05855, 0.0576615, 0.0902686, 1.15394
0.257856, 0.182332, 0.0578978, 0.0576468, 0.089603, 1.15365
0.257919, 0.18442, 0.0592766, 0.0583609, 0.0921072, 1.15666
0.250139, 0.180549, 0.0582295, 0.0576679, 0.0897828, 1.15318
0.253567, 0.183318, 0.0581249, 0.0589722, 0.0897026, 1.15235
0.258951, 0.183334, 0.0600185, 0.0581275, 0.0897193, 1.15988
0.331692, 0.173489, 0.0596288, 0.0586499, 0.0902936, 1.15632
0.25073, 0.174067, 0.0587919, 0.0579007, 0.0907004, 1.15323
0.25027, 0.173865, 0.0586493, 0.0579594, 0.0899776, 1.15456
0.25393, 0.218537, 0.0612319, 0.0591994, 0.0913632, 1.15595
0.261762, 0.190498, 0.0594577, 0.0585138, 0.0900884, 1.15321
0.272618, 0.184111, 0.0582991, 0.0578265, 0.0886648, 1.15342
0.249646, 0.185823, 0.0585355, 0.057778, 0.0895771, 1.15476
